Bangla,Chittagong
"কি রে, তোর চ্যানেল মার্জ করলি কেন?",কিরে তোর চ্যানেল মার্জ গইজ্জুস কেনে?
বাজারের কোন জিনিস নিত্য কেনেন?,বাজারত্তুন হন জিনিস পইত্তেন কিনন দে?
পাড়ার সালুনে যাব,পাড়ার সেলুনুত যাইয়ুম দে
আগারগাঁও অফিসে,আগারগাঁও অফিসুত্তুন
লাউয়াছড়া জাতীয় উদ্যানে কি আছে?,লাউয়াছড়া জাতীয় উদ্যানে কি আছে দে?
সিলেটি কমলা পছন্দ,সিলেটি কমলা গম লাগে দে
ঢ্যাঁড়স কাটতে হবে?,ঢেড়স হাডম পরিবু না?
"হ্যাঁ, বাগানে আসে","অয়অ,বাগানত আসে"
কোন ধরনের বাজার পছন্দ?,হন ডইল্লে বাজার গম লাই দে?
কাঁচা লঙ্কা লাগবে?,কেচাঁ মরিচ লাগিবু?
কার হাতের পিঠা সবচেয়ে ভালো?,হার আথর পিডে বেশি পোয়াদ দে?
কুয়াকাটা বীচে কি করেন?,কুয়াকাটার বীচুত কি গরন দে?
"হ্যাঁ, অফিস রুমে","অয়অ,অফিস রুমুত"
কিভাবে ফুল তোলেন?,ফুল কেন গরি তোলন দে?
কোন ধরনের ভাত পছন্দ?,কিরহম ভাত মজা লাগে দে?
কপি কত বড়?,হবি হত্তর ডঅর ?
বড়দের পায়ে হাত দিয়ে সালাম করা,বড় অলর টেংত আথ দিয়েরে সালাম গরন:
"বিকাশ-নগদে রাখি, দোকানে দিই","বিকাশ-নগদে রাহি,দোআনত দি"
স্টাডি টেবিলে,স্টাডি টেবিলুত
সুজি ভাজা হচ্ছে।,সুজি ভাজা অর ।
বাড়ির কোন জায়গায় বেশি ঠান্ডা?,ঘরর হন জাগাত বেশি ঠান্ডা লাগে দে?
কোন ধরনের মাছ রান্না করেন?,হন ডইল্লে মাছ রাধন দে?
কোথায় কফি খাবেন?,কফি হডে হাইবেন?
"হ্যাঁ, ফজরের পর পড়ি","অয়অ, ফজরর পর পড়ি দি"
দুইটা মিটিং ছিল,দুইয়েন মিটিং আছিল
কোথায় আনন্দ পান?,হনডে খুশি লাগে দে
মানবিক মূল্যবোধ আর প্রকৃতির সাথে সম্পর্ক,মানবিক মূল্যবোধ আর প্রকৃতির লয় সম্পর্ক
শুক্রবার রাতে বন্ধুরা মিলে খাই,শুক্কুরবার রাতিয়ে বন্ধু অলে মিলি হায়
আপনি কি ফেসবুক ব্যবহার করেন?,অনে কি ফেইসবুক চালান না?
কার কাছে আশীর্বাদ নেন?,হাত্তুন দোয়া লন দে?
কোথায় পিকনিক করবেন?,পিকনিক হনডে গরিবেন?
কার হাতের রান্না ভালো?,হার আথর রান্না বেশি পোয়াদ দে?
বাঁশবনের ভিতর দিয়ে।,বাঁশ বুনুর ভিতুর দি ।
নতুন কি বিজনেস করতে চাও?,নতুন কি বিজনেস গইত্তু চন দে?
অনেক চওড়া। ট্রাফিক আর নাই,বউত লাম্বা। ট্রাফিক আর নাই
এইমাত্র উঠলাম।,এহন উইট্টি দি ।
নতুন চাকরিটা কেমন?,নতুন চরি ইয়েন ক্যান?
কোথায় সিঙ্ক করবেন?,সিঙ্ক হনডে গরিবেন দে?
গরুর হাট কেমন লাগে?,গরুর বাজার কেন লাগে দে?
পাঁচতারা হোটেলে,পাঁচ তারা ওটেল
বাঁশি বাজাচ্ছে।,বাঁশি বাজার ।
মোহনপুরার দোপেঁয়াজা কেমন?,মোহনপুরার পিয়েজু কেন লাগে?
তোর ফ্রিল্যান্সিং কি নিয়ে?,তোর ফ্রিল্যান্সিং কি লইয়েরে?
আমি নিজেই নিই,আই নিজি লয় দি
"কি রে, তোর বাসার ভাড়া কত?",কিরে তোর ঘর/বাসা ভাড়া হট্টা?
"হ্যাঁ, পাটিসাপটা।","অয়অ,পাটিসাপটা ।"
অতিথিকে দেবতা মনে করে আপ্যায়ন করে,মেমানরে দেবতা মনে গরি হাতিরদারি গরে
কার সাথে দেখা করলে আনন্দ পান?,হার লয় দেহা গইল্লি গম লাগে দে?
কফি হাউসে যাবে নাকি?,কফি হাউজুত যাইবে না?
কিভাবে ফুল তোলেন?,ফুল কেন গরি তোলন দে?
কোথায় কাপড় কেনেন?,হর হত্তুন কিনন দে?
কোন মুভি দেখবে?,হন মুভি চাইবে?
"হ্যাঁ, ভ্রমণের জন্য","অয়অ,ভ্রমণর লায়"
"হ্যাঁ, রাতে করি","অয়অ,রাতিয়ে গরি দি"
"হ্যাঁ, চায়ের সাথে","অয়অ,চার লয়"
পুরনো স্কুলে,পুরন স্কুলুত
কোন রকম বই পড়েন?,হন ডইল্লে বই পড়ন দে?
লেবুর শরবত কত?,হজির শরবত হত গরি ?
মোবাইলে।,মোবাইলুত ।
কোন সময় ফ্রি থাকেন?,হন সমত ফিরি থাগন ?
হাঁড়িতে কি রান্না হচ্ছে?,ডেকসিত কি রাধাঁ অইয়ি?
চিরুনি দেখছেন?,অনি চাইয়ুন না ?
কোন মার্কেটে সেল বেশি হয়?,হন মার্কেটত সেল বেশি অয় দে?
যা চেয়েছো।,যিয়েন চাইয়ু ।
আপনার ছুটি কবে?,অনর ছুটি হত্তে?
কার সাথে মেলায় যান?,মেলাত মাইজ্জি হারলয় যন দে?
লাইন ধরে ধরে,লাইন ধরি ধরি
কোন ধরনের শরবত পছন্দ?,কিরহম শরবত গম লাগে দে?
আশুরার রোজা আছে?,আশুরত রোজা আছে না ?
কোথায় ধ্যান করেন?,হনডে এলাম দি বয়তন দে?
মাছটা কেমন হয়েছে?,মাছ ইবে কেন অইয়ি?
সন্ধ্যাবেলা গুরুর কাছে তালিম নিই,আজইন্নে ওস্তাদত্তুন উপদেশ লয়
গুলশান টুতে নতুন নতুন জায়গা খুলতেছে,গুলশান টুত নোয়া নোয়া জাগা খুইল্লি
নতুন কোন হবি আছে?,নতুন হন ইচ্ছে আছে না?
তোর নতুন কনটেন্ট কেমন?,তোর নোয়া কনটেন্ট কেন?
কোথায় যাচ্ছেন?,হনডে যাইতেলাইগ্গুন?
"হ্যাঁ, পুকুরের ধারে","অয়অ,পইরুর হাছাত"
আম আর লিচু।,আম ইয়ের লেচু।
তাল পাকা আছে।,তাল পাক্ষে আছে ।
কলিংবেল বাজল?,কলিং বেল বাজের ?
অডিওবুক শুনি আর পডকাস্ট চালাই,অডিওবুক ওনি ইয়ের পডকাস্ট চালাইর
চাবি লাগানো আছে।,চাবি লাগাইয়ে আছে ।
পান্তা ভাত কি দিয়ে খান?,পানি ভাত কি দি হন দে?
বন্ধুদের সাথে কোথায় আড্ডা দাও?,বন্ধু অলর লগে হডে আড্ডা দ?
এখানে বসব?,এন্ডে বইস্সুম না?
বাথরুমে সাবান আছে?,বাথরুমুত সাবান আছে না ?
পাড়ার ক্লাবে কি?,পাড়ার কেলাফত কি ?
শালিক পাখি কোথায়?,মনা পাখি হনডে ?
কোন ধরনের শাক পছন্দ?,হন ডইল্লে শাক মজা লাগে দে?
কে জানে।,হনে জানে ।
ভাই কি করেন এখনকার দিনে?,ভাই/ বদ্দা কি গরন দে এহন?
চায়ের দোকানে ভিড়।,চাআর দোআনত জাম ।
"হ্যাঁ, ব্রডব্যান্ড আছে","অয়অ,ব্রড ব্র্যান্ড আছে দে"
ছয় ঋতুর রং বদলায় প্রকৃতির সাজে,ছ ঝতুর রং বদলার প্রকৃতির লয়
জুমার নামাজে সবার সাথে মিলে,জুমর নামাজত বেজ্ঞুনের লয় মিলে
"আর্মি স্টেডিয়ামের চারপাশে, অনেকে যায়","আর্মি স্টেডিয়ামর চাইরু ডাগদি, বউত কিয়ায়যায়"
কলিং কার্ড কোথায়?,কলিং কার্ড হনডে ?
সার্ভিস সেন্টারে,সার্ভিস সেন্টারত
আপনি কি নিয়মিত টিউশন পড়ান?,অনে কি পইত্তেন টিউশনি গরন না?
পুকুরে মাছ ছাড়বেন?,পইরুত মাছ ফেলায়বেন না ?
চোখের কাজল,চগুর হাজল
কিভাবে সবজি কাটেন?,তরহারি কেন গরি হাডন দে?
কিভাবে রান্নাঘর গুছান?,পাকঘর কেন গরি গুছন দে?
দোকানটা কখন খুলবে?,দোয়ান হত্তে খুলিবেন দে?
কোন দিকে জানালা খোলা রাখেন?,জানালা হনদি মেলা থাগে দে?
নতুন মার্কেটে কি পাওয়া যায়?,নোয়া মার্কেটত কি পা যায় দে?
কোন সময় রোদ ভালো লাগে?,রইদ হন সমত গম লাগে দে?
বাংলা নাটক কি করেন?,বাংলা নাটক কি চন দে?
আজকে কি খেলা আছে?,আজিয়ে কি খেলা আছে না?
সামনের দিকে,সাম্মদি
সুতির চাদর,সুতির চাদর
"হ্যাঁ, গোলাপ আর গাঁদা আছে","অয়অ,গোলাপ ইয়ের গাদা আছে দে"
কোথায় শিকা বাঁধেন?,শিক হডে বাধন দে?
তোর এলাকার চাচা কি করে?,তোর এলাহার চাচা কি গরে দে?
নরম তুলার বালিশ,নরম তুলর বালুশ
আপনি কি নিয়মিত পেইন্টিং করেন?,অনে কি অক্ষল সময় পেইন্টিং গরন না?
"বিকেলে গিয়ে নতুন বই কিনি, লেখকদের সাথে কথা বলি","বিকেলবেলা বেলা যাইয়েরে নোয়া বই কিনি,লেখক অলর হথা উনি"
বারবার রিভিশন দিয়ে,বারবার রিভিশন দিয়েরে
আধুনিক বাংলা গান।,আধুনিক বাংলা গান ।
যুব শিল্পীরা কি আঁকছে?,জোয়ান শিল্পী অলে কি আঁকে দ্দে?
ইনফ্লুয়েন্সারদের কি ফলো করেন?,ইনফ্লুয়েন্সা অলরে কি ফলঅ গরন না?
আপনি কি নিয়মিত আলু খান?,অনে কি পইত্তেন আলু হন না?
"হ্যাঁ, চাটনি করে","অয়অ,চান্নি গরিয়েরে"
কিভাবে চুল শুকান?,চুল কেন গরি পোঅন দে?
বাসায় আরাম করি,ঘরত জিরেদ্দি
টিকিট কাটবেন?,টিকিট হাডিবেন না ?
মগবাজারে ট্রাফিক কেমন এখন?,মগবাজারর ট্রাফিক ক্যান এহন?
করমচা পাব?,করমচা পাইয়ুম না ?
কোন ধরনের খুন্তি ব্যবহার করেন?,হন ডইল্লে হনতি ব্যবার গরন দে?
"ভালো রান্না করে, সবার সাথে মিশে","ভালা রান্না গরে, বেজ্ঞুনুর লয় মিশে"
কোন গেম খেলছো?,হন গেম খেলর?
বাংলা কবিতার আসরে কি করেন?,বাংলা কবির আসরত কি গরন দে?
তোর বাসার সামনের দোকানদার কেমন?,তোর ঘরর সাম্মদি দোআনদার ইবে কেন?
কি উৎসব চলছে?,কি অনুষ্ঠান/উৎসব চলের?
"আপু, মেকআপ আর্টিস্ট ঠিক করেছো?","আপু, মেকআপ আটিস্ট ঠিক গইজ্জু না?"
বসন্ত কাল পছন্দ,বসন্তকাল গম লাগে দে
বিস্কুট দেন,বিস্কুট দিয়ে
কোন ধরনের রেজালা পছন্দ?,রেজালা কি রহম গম লাগে দে?
আপনার কি পুরনো ঘড়ি আছে?,অনত্তে কি পুরোন ঘড়ি আছে না?
পানি ঠান্ডা না গরম?,পানি ইয়িন গরম না ঠান্ডা?
"হ্যাঁ, গন্ধ ছড়ায়","অয়অ,বাশ দায় দে"
তোর কাজিনের বিয়েতে কি করবি?,তোর কজিনর বিয়েত কি গরিবি দি?
রহস্য উপন্যাস,কাহিনীর উপন্যাস
কি শুনবে?,কি ওনিবু ?
"বাবা গো, এত চিৎকার কেন?","অবাজি,এত্তর চিক্ষর কা ?"
সফটওয়্যার কোম্পানিতে,সফটওয়্যার কোম্পানিত
কোন ধরনের পথ পছন্দ?,হন ডইল্লে রোড অইলি ভালা লাগে দে?
আপনি কি নিয়মিত মেহমান আপ্যায়ন করেন?,অনে কি পইত্তেন মেমানঅরে আইসতু হন না?
"হ্যাঁ, পুকুরে আছে","অয়অ,পইর পারত আছে দে"
"হ্যাঁ, গত মাসে করেছি","অয়অ,গত মাসত গইজ্জ দি"
ব্যবসা করেন।,ব্যবসা গরন না ।
"জামিল ভাই, ম্যাচটা দেখবেন?",জামিল ভাই ম্যাচ ইয়েন চাইবেন না?
"হ্যাঁ, ক্রিকেট দেখি","অয়অ, ক্রিকেট চাইদ্দি"
কার সাথে গল্প করেন?,হার লয় গফ মারন দে?
পাখি ডাকছে?,পাখি ড হের না?
আলুর দম আর হালুয়া দিয়ে,আলুর দম ইয়ের আলুয়া দি
এক্সটার্নাল হার্ড ড্রাইভে,এক্সটার্নাল হার্ড ড্রাইভে
কোথায় মাছ ধরেন?,মাছ হত্তুন দরন দে?
কোথায় রেজিস্টার করবেন?,রেজিস্টার হডে গরিবেন?
"ধৈর্য ধরে, সব মশলা ঠিকমতো মিশিয়ে","সবর গরি,বেগ মসল্লা ঠিকভাবে মিয়েইয়েরে"
"বাপু রে, কি করছো গাছে?","বাপরে,কি গইত্তে লাইগ্গুন দে গাছত ?"
প্রাইভেট টিউটরের কাছে,প্রাইভেট মাষ্টরর সাথে
কুমড়ো কত?,হদু হত গরি ?
মেঘ বলেছে যাব যাব।,মেঘ হদ্দে যাইয়ুম যাইয়ুম ।
তোর এলাকার নতুন ফ্ল্যাট কেমন?,তোর এলাহার নোয়া ফ্ল্যাট কেন?
সরল মানুষের,সরল মানুষুর
শেষ কটা আছে।,শেষ হওঅ আছে ।
আপনি কি নিয়মিত দুধ খান?,অনে কি পইত্তেন দুধ হন না?
খোঁচা দিয়ে দেখুন।,হোচা দি চন ।
ক্লাউড স্টোরেজে,ক্লাউড স্টোরেজত
কোন এরিয়ায় স্পেশালাইজ করবেন?,হন এরিয়েত স্পেশালাইজ গরিবেন?
কিভাবে পরোটা বানান?,পরটা কেন গরি বানন দে?
কখন থেকে রোজা রাখছেন?,হত্তেতুন রোজা রাহন দে?
ঈদের দিন কেমন কাটে?,ঈদুর দিন কেন গরি যায় দে?
দরজার পেছনে,দরজার পিছুদি
"হ্যাঁ, সকালে করি","অয়অ,বেয়িন্নে গরি দি"
গোপালভোগ আম কেটে চিনি দিয়ে,গোপালভোগ আম হাডি চিনি দি
সেন্ট মার্টিনে,সেন্টমার্টিনে
পরীক্ষার আগে কি করো?,পরীক্ষার আগে কি গরো?
"লোকাল প্রোডাক্ট রিভিউ করি, মানুষ দেখে","লোকাল প্রোডাক্ট রিভিউ গরি, মাইনষি চায়"
কোথায় সেহরি খাবেন?,পোয়াত্তে ভাত হডে হাইবেন দে?
কাঁচা বাজারে সকালে গেলে ভালো পাওয়া যায়,কেঁচা বাজারত বেয়িন্নে গেলি ভালা পা যায়
ঠাণ্ডা পানি দিয়ে গোসল করি।,ঠান্ডা পানি দিয়েরে গোছল গরি ।
শীতে কি খান?,শীতকালে কি হন দে?
একটু সাহায্য।,এক্ষানা সাইজ্জু ।
এটা আমার ছোট ভাইয়ের,ইয়েন আর ছোট ভাইয়ুর
কোন ধরনের আকাশ পছন্দ?,হন ডইল্লে আকাশ ভালা লাগে দে?
জীবনের অভিজ্ঞতা দিয়ে নতুন প্রজন্মকে পথ দেখান,জীবনর শিক্ষে দিয়েরে নোয়া প্রজন্মরে পথ দেহায়
পাখি উড়ছে।,পাখি উরের ।
আপনি কি নিয়মিত পটোল খান?,অনে কি পইত্তেন পটল হন না?
ফুলকপি আছে?,ফুলহবি আছে না ?
বর্ষা নামবে বোধহয়।,বর্ষা নামিবু মনয় ।
নানীর হাতের,বেডির আথর
ট্রেনটা কখন ছাড়বে?,ট্রেন ইয়েন হত্তে ছারিবু?
রংপুরের শীতল পাটি কোথায় পাতেন?,রংপুরুর শীতল পাটি হনডে বিছন দে?
আপনি কি নিয়মিত মেথি শাক খান?,অনে কি পইত্তেন মেথি শাক হন না?
কোথায় আড্ডা দেন?,গফ হনডে মারন দে?
ইলিশ মাছ আর ভাত,ইলিশ মাছ ইয়ের ভাত
পুরনো বাজারে কি পাওয়া যায়?,পুরন বাজারত কি পা যায় দে?
কোন ধরনের রাস্তা পছন্দ?,হন ডইল্লে রাস্তা ভালা লাগে দে?
"হ্যাঁ, জিমে নিয়ে যাই","অয়অ,জিমুত লয় যাই দি"
ময়মনসিংহের কচুরি কেমন?,ময়মনসিংহর কচুরি কেন?
কোথায় চা খেতে ভালো?,হনডে চা হাইতু গম লাগে দে?
ধানের খেতে কি করেন?,ধানর ক্ষেতত কি গরন দে?
বন্ধুর বাসায়,বন্ধুর ঘরত
কার হাতের পিঠা সবচেয়ে ভালো?,হার আতর পিডে বেশি পোয়াদ দে?
"সন্ধ্যায় ক্রিকেট খেলে, মজার হৈচৈ","আজইন্নে ক্রিকেট খেলে, মজার হৈচৈ"
"নাগরদোলা চলে, যাত্রাপালা হয়, পিঠা-পুলির ভিড়","হলরদক্ষত চড়ি,যাত্রা পালা অয় পিডে পুলির জাম"
সূর্য উঠতে এখনও দেরি।,সূজ্জু উঠতে এহনো দেরি আছে।
ভাত আর মাছের ঝোল,ভাত ইয়ের মাছর ঝোল
সালিশি মীমাংসা হল।,সালিশুর মীমাংসা অইয়ি ।
"ভালো আছি, আপনি কেমন আছেন?","গম আছি, অনে কেন আছন?"
তোর টিমে কে কে আছে?,তোর টিমুত হন হন আছে দে?
"বসুন্ধরায় খুলছে, এসি-সাউন্ড সব ভালো","বসুন্ধরাত খুইল্লি, এসি-সাউন্ড বেগ ভালা"
দশ টাকার দিন।,দশ টিয়ার দিয়ন ।
পুড়ে যাচ্ছে নাকি?,পুড়ি যারগু না ।
বন্ধুরা মিলে চিৎকার করে উৎসাহ দেই,বন্ধু অলে মিলিয়েরে চিক্ষরিয়েরে সঅস দি
কোথায় দাওয়াত খেতে যান?,দত হাইতু হনডে মন দে?
আপনার কি ফার্স্ট এইড বক্স আছে?,অনত্তে কি ফার্স্ট এইড বক্স আছে না?
নিজের কাছে,নিজুর হাছে
এখন কি নিয়ে কাজ করছো?,এহন কি লইয়েরে হাম গরন দে?
কার সাথে ঘুরতে যান?,হার লয় ঘুইত্তু যন দে?
নতুন জামা পরে সেলফি তুলি সবার সাথে,নোয়া হোত্তা পরি সেলফি তুলির বেজ্ঞুনুর লয়
আপনার কি বাড়িতে আদা গাছ আছে?,অনর ঘরত কি আদা গাছ আছে না?
ইফতার কখন?,ইস্তের হত্তে?
নারকেল কাটা?,নাইরকুল হাইট্টে না ?
"চাচি, রোজার ইফতার কোথায় করবেন?","চাচি, রোজার ইফতার হডে গরিবেন?"
"হ্যাঁ, সালাদের সাথে","অয়অ,সালাদর লয়"
"ধানমন্ডি লেকের পাশে, ভিউ ফাটাফাটি","ধানমন্ডি লেকর ডাহত, ভিউ ফাটাফাটি"
মাছ ধরছে খালে।,মাছ ধয়জ্জি হালত।
জামগাছ।,জামগাছ।।
"হ্যাঁ, সালাদে","অয়অ,সালাদত"
বাড়িতে কি উৎসব হয়?,ঘরত মাইজ্জি কি অনুষ্ঠান অয় দে?
ছুটির ঘণ্টা বাজল।,ছুটির ঘন্টা বাজের ।
কোন মুভি দেখবি?,হন মুভি চাআবি?
শেষ দুটো আছে।,শেষ দুঅ আছে।
কোন ধরনের আনারস পছন্দ?,কিরহম আনারপ গম লাগে দে?
পাটিসাপটা আর চিতই পিঠা বানাই,পাঠিসাফটা ইয়ের চিতল পিডে বানাইর
কোন দোকানে চপ ভালো পাস?,হন দোআনত চপ ভালা পাই যায় দে?
মাটির হাঁড়িতে কি রান্না করেন?,মেডির পাতিলেত কি রাধন দে?
সকালে উঠে অনলাইন পত্রিকা দেখি,বেয়িন্নে উডি অনলাইনুত হবর চাইর
এটা স্যামসাং,ইবে স্যামসাং
সোনার হরিণ দেখলাম।,সোনার হরিণ দেখিলাম ।
বাঁদর ঝাঁক এসেছে।,বাদঁরর ঝাঁক আইসসি ।
"টুর্নামেন্টে খেলি, স্পনসরও পাইতেছি","টুর্নামেন্টে খেলি, স্পনসরও পাইর"
"হ্যাঁ, টিউটোরিয়াল দেখি","অয়অ,টিউটোরিয়াল চায়দ্দি"
"ছোট বোন, কোন স্বপ্ন দেখলে?","ছোট বইন,হন স্বপ্পনত দেখলিন দে?"
আপনি কি নিয়মিত অ্যানালাইসিস করেন?,অনে কি পইত্তেন অ্যানালাইসিস গরন না?
টাঙ্গাইলের পোড়ন পিঠা খান?,টাঙ্গাইলুর পোড়ন পিডে কেন?
পুরান ঢাকার গলিতে খাবার খেতে খেতে,পুরন ঢাহার গলিত হানা হাইতে হাইতে
শেষ টুকরোটা আছে।,শেষর টুরঅ আছে।
কোন সময় লেখাপড়া হয়?,লেহাপড়া হত্তে গরন দে?
কোন ধরনের বাটি ব্যবহার করেন?,কি রহম হোটারা ব্যবার গর দে?
"হ্যাঁ, তরকারিতে","অয়অ,তরহারিত"
কোথায় ভর্তি হবেন?,হডে ভর্তি অইবেন দে?
"হ্যাঁ, খাঁটি গরুর ঘি।","অয়অ, হাটি গরুর ঘি ।"
ভোরের বাজারে কি পান?,পোয়াইত্তে বাজারত কি পন দে?
বাড়ির কোন জায়গায় পড়েন?,ঘরর হন জাগাত পড়ন দে?
"হ্যাঁ, সপ্তাহে একবার","অয়অ, সপ্তায় একবার"
"হ্যাঁ, সেখানে বসি","অয়অ,এনডে বেয়দি"
রসগোল্লা কেমন হল?,রসগোল্লা কেন অইয়ি?
কি বানাচ্ছ দিদি?,কি বানাইতে লাইগ্গু দে দিদি?
বাগানের মাঝে কি?,বাগানর মাঝদি কি ?
দুধের পরমান্ন পছন্দ,দুধের পরমান্ন গম লাগে দে
শীতকালে,শীত কাইল্লে
আপনার কি ল্যাপটপ স্ট্যান্ড আছে?,অনত্তে কি ল্যাপটপ স্ট্যান্ড আছে না?
ছেলে কখন ফিরবে?,পুয়া হত্তে আইবু ?
সামনের উঠানে,সাম্মদির উডনত
কোন ধরনের ছোলা পছন্দ?,কি রহম ছোলা গম লাগে দে?
সই বাকি আছে।,সই বাকি আছে।
কোন ধরনের কোফতা পছন্দ?,হন ডইল্লে কোফতা গম লাগে দে?
কুরিয়ার অফিস থেকে,কুরিয়ার অফিসুত্তুন
তোর ফুপুর রান্না কেমন?,তোর ফুর রান্ন কেন?
কোন ধরনের সুপ পছন্দ?,সুপ কিরহম মজা লাগে দে?
বক দাঁড়িয়ে আছে।,বোগা থিয়েই লইয়ি।
আপনি কি গ্লাস পরেন?,অনেক কি গেলাস পরন না?
চারা কিনে,চারা কিনিয়েরে
কালী পূজা হবে।,হালী পূজ অইবু ।
কোথায় কবিতা লেখেন?,কবিতা হনডে লেহন দে?
কি সিরিয়াল দেখেন?,কি সিরিয়েল চন দে ?
তামাক খাচ্ছে।,আদা পাতা হার ।
বাংলা সিনেমা হলে কি করেন?,বাংলা সিনেমার হলত কি গরন দে?
কি করে সময় কাটে?,কি গরি সময় হাডে?
বাড়িতে কোন ফুল বেশি ফোটে?,ঘরত মাইজ্জি হন ফুল বেশি ফোডে দে?
আপনি কি নিয়মিত কুরআন পড়েন?,অনেকি পইত্তেন কোরান শরীফ পরন না?
বাল্যবন্ধুর সাথে,গুর থাকতের বন্ধুর লয়
রাঙ্গামাটির হাঁসের ডিম পাওয়া যাবে?,রাঙ্গামাটির আঁসর ডিম পওন যাইবু?
স্বপ্ন সুপার শপ থেকে,স্বপ্ন সুপার শপত্তুন
পার্কের সামনে নতুন পার্লার খুলছে,পার্কর সাম্মদি নোয়া পার্লার খুইল্লি
স্টাডি টুরে কারা যাচ্ছে?,স্টাডি টুরত হারা হারা যার?
বাম দিকের দোতলায়।,বাম ডদির দোতলাত ।
"বুবু, কোন পাখি ধরলে?","বব্বু,হন পাখি ধয়জ্জুন দে?"
শুক্রবারে ক্রিকেট টুর্নামেন্ট হয়,শুক্কুরবারে ক্রিকেট টুর্নামেন্ট অয়
কার কাছে বাজার টাকা চান?,বাজারর টিয়া হাত্তুন লন দে?
ক্যারাম।,ক্যারাম ।
কোন ধরনের তরমুজ পছন্দ?,হন ডইল্লে তরমুজ গম লাগে দে?
কিভাবে পান সাজেন?,পান কেন গরি সাজান দে?
বাজার থেকে কি আনতে ভুলে যান?,বাজারত্তুন কি আইনতু ভুলি যন দে?
এটিএম বুথে,এটিএম বুথে
বড় মসজিদে,বড় মসইদ
বৃষ্টি হলে কি করবি?,বৃষ্টি অইলি কি গরিবি?
পুরনো বন্ধুদের সাথে,পুরন বন্ধু অলর লয়
"কি রে, তোর রিভিউ চ্যানেল কেমন?",কিরে তোর রিভিউ চ্যানেল কেন?
কোন ফল পাকল?,হন ফল পাইক্ষি ?
কোথায় নামাজ পড়েন?,নামাজ হনডে পড়ন দে?
ঘাটের সিঁড়িতে কি?,ঘাটর সিঁড়িত কি ?
শীতের সকালে কোথায় যাচ্ছো?,শীতকাইল্লে বেয়িন্নে হনডে যন দে?
স্মার্ট সিটিতে কি সুবিধা পান?,স্মার্ট সিটিত কি সুবিধে লাগে দে?
সকালে কখন উঠিস?,বেয়িন্নে হত্তে উডছ দে?
বাড়ির কোন দরজা সব সময় খোলা?,ঘরর দরজা হননান সবসময় মেলা থাগে দে?
তোমার এসাইনমেন্ট শেষ?,তোয়ার এসাইনমেন্ট শেষ?
কোথায় রিহার্সাল করবেন?,রিহার্সাল হডে গরিবেন দে?
আপনার কি বাড়িতে শঙ্খচূড় আছে?,অনর ঘরত কি শঙ্খচূড় আছে না?
স্কয়ার হাসপাতালে,স্কয়ার হাসপাতালত
বাঁশবনে কি?,বাঁশবনত কি?
কাঠবিড়ালি লাফাচ্ছে।,গাছর চোলা পাল্লার ।
কোথায় তসবি রাখেন?,তসবি হনডে রাহন দে?
কি ধরনের ফল পছন্দ?,কিরহম ফলফ্রুট পছন্দ অনর?
বাড়ির কোন দিকে বাতাস আসে?,ঘরর হনদি বাতাস আইয়ি দে?
আলমারিতে রাখা।,আলমারিত রাইক্ষে ।
কোথায় ডেন্টাল চেকাপ করাবেন?,ডেন্টাল চেকআপ হডে গরিবেন দে?
রংপুরের কাচ্চি কোথায় খাওয়াবে?,রংপুরর কাচ্চি হডে হাবাইবে?
কোন মসজিদে জুমা পড়েন?,হন মসদুত জুমার নামাজ পড়ন দে?
শিউলি আর জবা।,শিউলি ইয়ের জবা।।
টুথব্রাশ করতে যাচ্ছি।,টুথ ব্রাশ গইত্তাম যাইর।
"হ্যাঁ, সকালে ফুল কুড়াই","অয়অ,বেয়িন্নে ফুল তোয়াইরদি"
অনেক কিছু।,বউত কিছু ।
"হ্যাঁ, দিনে দুইবার","অয়অ,দিনি দুইবার"
আপনি কি নিয়মিত সিঙ্ক করেন?,অনে কি পইত্তেন সিল্ক গরন না?
"হ্যাঁ, চচ্চড়ি করে","অয়অ,চচ্চরি গরিয়েরে"
দেড় কেজি।,দেড় কেজি ।
কোথায় ছবি প্রিন্ট করাবেন?,ছবি হত্তুন প্রিন্ট গরিবেন দে?
ভালোই হয়েছে।,ভালা অইয়ি।
কোথায় পড়াশোনা করেন?,পড়ালেহা হন্ডে গরন দে?
"হ্যাঁ, ফল রাখার জন্য","অয়অ, ফলফ্রুট রাহিবেল্লায়"
নতুন কি শিখছেন?,নোয়া কি শিক্ষুন দে?
বাদাম বাটা চাই?,বাদাম বাইট্টে চাই ?
কত বছর ধরে এখানে আছেন?,হ বছর ধরি আছন এড়ে?
"আন্টি, কেক টা কেমন হয়েছে?",আন্টি কেক ইবে ক্যান অইয়ি?
দাদার বিয়ে ঠিক হয়ে গেছে।,দাদা বিয়ে ঠিক অয় গেইয়ি ।
পুরনো ঢাকার গলিতে কি করেন?,পুরন ঢাহার গলির মাইজ্জি কি গরন দে?
"মুচি ভাই, কোন জুতা সারাবে?",মুচি ভাই হন জুতা সিলেইবেন দে?
নারকেল কুরে গুড় দিয়ে,নাইরকুল হুরাই মিডে দিয়েরে
দরজার পাশে রাখা।,দরজার ডাগত রাহন ।
কলার বাগানে,কেলার বাগানত
